Date,Hour,Combine,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station,Long,Lat,Station
6/1/11,20:00:00,6/01/1120:00:00,-98.65638733,19.11701202,279.7997437,-99.52338409,19.53956604,285.105957,-99.19944763,19.26997375,292.5436401,-99.17086792,19.44975281,295.5597839,-99.6567688,20.39026642,294.2453308,-99.16133881,18.88278961,302.1621094,-98.7230835,20.19367218,283.8798828,-99.31378174,19.0539856,290.3377686,-99.77109528,19.11701202,279.2726746,-98.63733673,19.09900665,283.1105652,-99.2661438,19.52160645,292.1550293,-99.07559204,18.9458847,301.9819031,-99.24708557,19.0539856,290.462738,-99.10417938,19.38685608,296.2168274
6/1/11,21:00:00,6/01/1121:00:00,-98.65638733,19.11701202,280.64505,-99.52338409,19.53956604,285.4903564,-99.19944763,19.26997375,293.7225037,-99.17086792,19.44975281,296.6401978,-99.6567688,20.39026642,294.3903198,-99.16133881,18.88278961,302.9885254,-98.7230835,20.19367218,283.9887695,-99.31378174,19.0539856,290.5999756,-99.77109528,19.11701202,279.6567383,-98.63733673,19.09900665,283.4015503,-99.2661438,19.52160645,292.9025879,-99.07559204,18.9458847,302.9746704,-99.24708557,19.0539856,290.9481506,-99.10417938,19.38685608,296.9275513
6/1/11,22:00:00,6/01/1122:00:00,-98.65638733,19.11701202,281.5168457,-99.52338409,19.53956604,285.4541321,-99.19944763,19.26997375,294.2224426,-99.17086792,19.44975281,296.5613708,-99.6567688,20.39026642,294.4556885,-99.16133881,18.88278961,303.6061096,-98.7230835,20.19367218,283.86203,-99.31378174,19.0539856,291.2203369,-99.77109528,19.11701202,279.5934448,-98.63733673,19.09900665,283.3715515,-99.2661438,19.52160645,293.0827332,-99.07559204,18.9458847,303.5361023,-99.24708557,19.0539856,291.5727539,-99.10417938,19.38685608,296.7840881
6/1/11,23:00:00,6/01/1123:00:00,-98.65638733,19.11701202,280.8415527,-99.52338409,19.53956604,284.7080994,-99.19944763,19.26997375,293.5470581,-99.17086792,19.44975281,296.2756958,-99.6567688,20.39026642,293.4005737,-99.16133881,18.88278961,303.8909607,-98.7230835,20.19367218,283.342804,-99.31378174,19.0539856,290.9974365,-99.77109528,19.11701202,279.432251,-98.63733673,19.09900665,282.5497131,-99.2661438,19.52160645,292.4683533,-99.07559204,18.9458847,303.6574402,-99.24708557,19.0539856,291.4056396,-99.10417938,19.38685608,296.3872986
6/2/11,0:00:00,6/02/1100:00:00,-98.65638733,19.11701202,280.3554382,-99.52338409,19.53956604,283.2803955,-99.19944763,19.26997375,292.6333618,-99.17086792,19.44975281,295.0642395,-99.6567688,20.39026642,292.4563599,-99.16133881,18.88278961,303.9015198,-98.7230835,20.19367218,283.2732849,-99.31378174,19.0539856,290.013031,-99.77109528,19.11701202,278.8790894,-98.63733673,19.09900665,281.6811218,-99.2661438,19.52160645,291.6579895,-99.07559204,18.9458847,303.4594116,-99.24708557,19.0539856,290.4901123,-99.10417938,19.38685608,295.3822632
6/2/11,1:00:00,6/02/1101:00:00,-98.65638733,19.11701202,279.1962585,-99.52338409,19.53956604,281.2705078,-99.19944763,19.26997375,291.1959534,-99.17086792,19.44975281,293.1914368,-99.6567688,20.39026642,290.7061462,-99.16133881,18.88278961,303.5241089,-98.7230835,20.19367218,282.5141907,-99.31378174,19.0539856,288.1715698,-99.77109528,19.11701202,278.0788879,-98.63733673,19.09900665,280.3518677,-99.2661438,19.52160645,290.0635376,-99.07559204,18.9458847,302.1543884,-99.24708557,19.0539856,288.9075623,-99.10417938,19.38685608,293.7416992
6/2/11,2:00:00,6/02/1102:00:00,-98.65638733,19.11701202,278.7401123,-99.52338409,19.53956604,280.5618896,-99.19944763,19.26997375,289.5657043,-99.17086792,19.44975281,291.8977356,-99.6567688,20.39026642,288.8633118,-99.16133881,18.88278961,301.0504456,-98.7230835,20.19367218,281.5874329,-99.31378174,19.0539856,286.2841187,-99.77109528,19.11701202,277.7513123,-98.63733673,19.09900665,279.7216797,-99.2661438,19.52160645,288.5039368,-99.07559204,18.9458847,299.7976379,-99.24708557,19.0539856,287.1281433,-99.10417938,19.38685608,292.1972351
6/2/11,3:00:00,6/02/1103:00:00,-98.65638733,19.11701202,277.7452087,-99.52338409,19.53956604,280.2511292,-99.19944763,19.26997375,287.8366089,-99.17086792,19.44975281,290.7246704,-99.6567688,20.39026642,287.5107117,-99.16133881,18.88278961,298.389801,-98.7230835,20.19367218,280.8213196,-99.31378174,19.0539856,284.6185303,-99.77109528,19.11701202,277.3917542,-98.63733673,19.09900665,279.2337646,-99.2661438,19.52160645,287.2331543,-99.07559204,18.9458847,297.0249329,-99.24708557,19.0539856,285.5030518,-99.10417938,19.38685608,290.9662781
6/2/11,4:00:00,6/02/1104:00:00,-98.65638733,19.11701202,276.7050171,-99.52338409,19.53956604,279.9590149,-99.19944763,19.26997375,286.3803406,-99.17086792,19.44975281,290.0499268,-99.6567688,20.39026642,286.6660461,-99.16133881,18.88278961,297.2694092,-98.7230835,20.19367218,280.3963013,-99.31378174,19.0539856,283.5838013,-99.77109528,19.11701202,277.0305176,-98.63733673,19.09900665,278.2789307,-99.2661438,19.52160645,286.5640259,-99.07559204,18.9458847,295.5791931,-99.24708557,19.0539856,284.4176025,-99.10417938,19.38685608,289.8858643
6/2/11,5:00:00,6/02/1105:00:00,-98.65638733,19.11701202,275.839447,-99.52338409,19.53956604,277.887207,-99.19944763,19.26997375,285.2267151,-99.17086792,19.44975281,289.4762573,-99.6567688,20.39026642,285.5734863,-99.16133881,18.88278961,296.3988953,-98.7230835,20.19367218,280.4200745,-99.31378174,19.0539856,282.6114807,-99.77109528,19.11701202,276.2622681,-98.63733673,19.09900665,277.5094299,-99.2661438,19.52160645,286.3726501,-99.07559204,18.9458847,294.0946655,-99.24708557,19.0539856,282.8812561,-99.10417938,19.38685608,289.1205139
